product,price
Lay's BBQ 130g,2.50
70Cl Absolut Mango,25.99
OCB Slim Virgin + Filtres,2.80
Lay's Poulet Rôti 130g,2.50
70Cl Absolut Peach,25.99
OCB Premium Court,1.60
Liqueur Menthe 70Cl 20%Vol,11.95
70Cl Absolut Watermelon,25.99
Cable Type C,7.5
70Cl Captain Morgan Blanc,22.95
Cable Apple,7.5
Trois Rivières Cuvée de l'océan,28.00
Cable USB,7.5
70Cl Eristoff Black,23.00
OCB Slim Longues,1.8
Ecouteurs Type C,12.95
OCB Slim Virgin,1.95
OCB Slim + Filtres,2.4
Milka Choco Mooelleux,3.95
Bière Heineken 65Cl(en double),3.60
Ciroc 70Cl 37.5%,49.00
Powerade Cerise 50Cl,2.4
Bière Rince Cochon 75Cl(en double),5.57
Happy Basil Fruits,2.0
Bière Kronenbourg 75Cl(en double),2.99
33Cl Bière Chimay 7%Vol,3.40
6x25Cl Super Bock Premium(en double),7.5
33Cl Bière Chimay 9%Vol,3.50
Caprisun 25Cl,0.80
Bubble Gum aux choix,1.0
Cristaline 1.5L,1.0
Caprisun 33Cl,1.6
Sucettes,0.1
Powerade Ice,2.40
Fromage Blanc Danone 4x100g,2.2
Compotes Andros 4x100g Pomme Nature,1.89
Danette Vanille 4x125g,2.79
Pointe de Brie 200g,2.99
Velouté Fruits Danone 4x125g,1.79
Danette Chocolat 4x125g,2.79
Bûche de chèvre Soignon 200g,3.79
1L Lait Fermenté Luxlait,2.6
Jambon dinde Hallal 4TR,3.99
225g Pépito Mini Rollos Lu,2.99
250ml Milkshake Fraise/Café,1.85
LULU l'ourson Fraise,2.95
Cacolac,1.89
Saucisson Hallal G.M,3.80
Flacons d'avoines 500g,3.49
Sandwich P.M Sodebo,2.99
Saucisson Hallal P.M,2.6
Biscotte Heudebert 300g x18,2.88
Sandwich G.M Sodebo,3.99
Camembert 200g Val des Moines,2.75
